t,P,Pr,Pe
0.000000,66.959000,78.321747,-11.362747
0.001000,67.055000,78.281464,-11.226464
0.002000,67.714000,78.245391,-10.531391
0.003000,68.943000,78.217913,-9.274913
0.004000,70.407000,78.202076,-7.795076
0.005000,71.825000,78.198501,-6.373501
0.006000,73.110000,78.206331,-5.096331
0.007000,74.283000,78.224417,-3.941417
0.008000,75.380000,78.251817,-2.871817
0.009000,76.430000,78.287849,-1.857849
0.010000,77.440000,78.331975,-0.891975
0.011000,78.404000,78.383670,0.020330
0.012000,79.299000,78.442304,0.856696
0.013000,80.105000,78.507093,1.597907
0.014000,80.822000,78.577188,2.244812
0.015000,81.463000,78.651808,2.811192
0.016000,82.043000,78.730295,3.312705
0.017000,82.573000,78.812106,3.760894
0.018000,83.059000,78.896782,4.162218
0.019000,83.507000,78.983924,4.523076
0.020000,83.930000,79.073220,4.856780
0.021000,84.336000,79.164450,5.171550
0.022000,84.734000,79.257466,5.476534
0.023000,85.125000,79.352167,5.772833
0.024000,85.510000,79.448464,6.061536
0.025000,85.893000,79.546293,6.346707
0.026000,86.278000,79.645624,6.632376
0.027000,86.667000,79.746451,6.920549
0.028000,87.062000,79.848786,7.213214
0.029000,87.462000,79.952649,7.509351
0.030000,87.871000,80.058070,7.812930
0.031000,88.295000,80.165120,8.129880
0.032000,88.740000,80.273917,8.466083
0.033000,89.207000,80.384601,8.822399
0.034000,89.692000,80.497296,9.194704
0.035000,90.187000,80.612078,9.574922
0.036000,90.682000,80.728946,9.953054
0.037000,91.167000,80.847819,10.319181
0.038000,91.636000,80.968554,10.667446
0.039000,92.087000,81.090974,10.996026
0.040000,92.517000,81.214888,11.302112
0.041000,92.933000,81.340121,11.592879
0.042000,93.333000,81.466518,11.866482
0.043000,93.718000,81.593927,12.124073
0.044000,94.087000,81.722195,12.364805
0.045000,94.442000,81.851178,12.590822
0.046000,94.780000,81.980728,12.799272
0.047000,95.099000,82.110681,12.988319
0.048000,95.401000,82.240875,13.160125
0.049000,95.680000,82.371134,13.308866
0.050000,95.937000,82.501268,13.435732
0.051000,96.171000,82.631085,13.539915
0.052000,96.378000,82.760381,13.617619
0.053000,96.560000,82.888945,13.671055
0.054000,96.716000,83.016577,13.699423
0.055000,96.847000,83.143078,13.703922
0.056000,96.953000,83.268259,13.684741
